County,year,Active Dentists,Active Primary Care Physicians,Beds in General Hospitals,Deaths by Injury or Violence,Divorces,General Hospital Discharges,Infant Deaths,Low-Weight Births Under 2500 Grams,Marriages,Midlevel Practitioners,Nongeriatric Deaths,Nursing Facility Beds,Persons Served in Area Mental Health Programs,Pregnancies for Females 15-19,Pregnancies for Females of All Ages,Registered Nurses,Reported Abortions,Resident Deaths,Resident Live Births,"Total Active Physicians, Nonfederal, Non-resident-in-tr",Am. Indian Alaska Native Median Household Income,Am. Indian Alaska Native Per Capita Money Income (Census),Am. Indian Alaska Native Persons in Poverty,Am. Indian Alaska Native Population for Whom Poverty Is Determined,Annual Wages by Place of Work,Average Annual Employment by Place of Work,Average Annual Wage per Worker,Black Median Household Income,Black Persons for Whom Poverty Status Is Determined,Black Persons in Poverty,Black Unemployment Rate (ACS),Employed Females Age 16 Up,Employed Males Age 16 Up,Employment by Place of Residence,Estimated Median Family Income(HUD),Families in Poverty,Families in Poverty with Female Householder,Families in Poverty with Related Children,Families in Poverty/Female Householder & Children,"Families with Income $10,000-14,999","Families with Income $15,000-24,999","Families with Income $25,000-49,999","Families with Income $50,000 or More",Female Unemployment Rate (ACS),Females Age 16 Up in Labor Force,First Quarter Payroll by Place of Work,Hispanic Median Household Income,Hispanic Persons in Poverty,Hispanic Population for Whom Poverty is Determined,Labor Force by Place of Residence,Male Unemployment Rate (ACS),Males Age 16 Up in Labor Force,Manufacturing Employment by Place of Work,Manufacturing Employment for Residents Age 16 Up,Mean Family Income,Median Family Income,Median Female Income,Median Household Income_x,Median Income,Median Male Income,Nonagric. Wage & Salary Employment by Place of Work,Nonmanuf. Employment for Residents Age 16 Up,Nonmanufacturing Employment by Place of Work,Per Capita Money Income (Census),Percent  of White Persons in Poverty,Percent of Am. Indian Alaska Native Persons in Poverty,Percent of Black Persons in Poverty,Percent of Hispanic Persons in Poverty,Percent of Persons 65 Up in Poverty,Percent of Persons in Poverty,Percent of Related Children under 18 in Poverty,Percent of Related Children under 6 in Poverty,Persons 65 Up for Whom Poverty Status Is Determined,Persons 65 Up in Poverty,Persons for Whom Poverty Status Is Determined,Persons in Poverty,Related Children under 18 in Poverty,Related Children under 18-Poverty Status Determined,Related Children under 6 in Poverty,Related Children under 6-Poverty Status Determined,Unemployed Females Age 16 Up,Unemployed Males Age 16 Up,Unemployment Rate (ACS),Unemployment Rate by Place of Residence (Percent),Unemployment by Place of Residence,White Persons for Whom Poverty Status Is Determined,White Persons in Poverty,Population Age 0-4,Population Age 10-12,Population Age 13,Population Age 14,Population Age 15,Population Age 16-17,Population Age 18,Population Age 19,Population Age 20-24,Population Age 25-29,Population Age 30-34,Population Age 35-39,Population Age 40-44,Population Age 45-49,Population Age 5,Population Age 50-54,Population Age 55-59,Population Age 6-9,Population Age 60-64,Population Age 65-69,Population Age 70-74,Population Age 75-79,Population Age 80-84,Population Age 85 and Over,FIPS,Pct HS Educated,People (<High School),National Rank (HS Education),Median Household Income_y,National Rank (Income),Percent Below Poverty,People (Below Poverty),National Rank (Poverty),Percent Unemployed,People (Unemployed),National Rank (Unemployment)
Cleveland County,2020,35.0,64.0,288.0,110.0,266.0,12444.0,5.0,119.0,537.0,126.0,423.0,544.0,5544.0,95.0,1250.0,995.0,164.0,1487.0,1079.0,175.0,0.0,25284.0,0.0,235.0,1490062182.0,34312.0,43427.0,32618.0,20034.0,6075.0,13.88,20075.0,20606.0,44634.0,52300.0,3770.0,2009.0,2608.0,1595.0,1053.0,2234.0,6044.0,13288.0,3.6,21594.0,376840566.0,37021.0,938.0,3572.0,48435.0,4.8,23184.0,6785.0,7936.0,68815.0,55121.0,220792.0,43512.0,262724.0,310948.0,30712.0,33487.0,23927.0,23061.0,16.04,0.0,30.32,26.26,14.59,19.13,28.23,27.62,17904.0,2612.0,95711.0,18306.0,5887.0,20854.0,1756.0,6358.0,1504.0,1811.0,5.77,7.9,3801.0,70695.0,11340.0,1389.0,916.0,310.5,307.25,326.25,642.75,354.25,359.75,1738.75,1707.5,1364.75,1237.25,1365.5,1552.25,276.5,1743.0,1812.25,1112.5,1705.75,1516.0,1337.75,896.25,542.0,431.0,37045.0,13.7,9305.0,"2,115",45646.0,"2,555",18.3,17794.0,"2,467",7.1,3274.0,"2,616"
Columbus County,2020,7.0,26.0,154.0,93.0,126.0,0.0,5.0,63.0,240.0,48.0,283.0,323.0,2580.0,65.0,646.0,394.0,71.0,887.0,572.0,65.0,41111.0,17148.0,394.0,1728.0,573381100.0,14937.0,38387.0,31266.0,15081.0,4672.0,7.84,10083.0,9952.0,20662.0,49600.0,2521.0,1415.0,1826.0,1123.0,469.0,1854.0,3688.0,7230.0,2.7,10726.0,139783796.0,26639.0,928.0,2824.0,22501.0,2.7,10787.0,1831.0,2298.0,65421.0,50411.0,231968.0,38487.0,257598.0,288717.0,13246.0,17933.0,11415.0,22426.0,17.94,22.8,30.98,32.86,15.47,22.08,30.21,40.95,10828.0,1675.0,52623.0,11619.0,3406.0,11276.0,1505.0,3675.0,627.0,603.0,4.130000000000001,8.2,1839.0,33726.0,6052.0,696.75,439.0,147.0,158.0,156.25,328.75,171.75,185.25,796.25,720.5,701.75,722.0,762.25,798.5,141.0,795.0,905.25,564.75,839.5,757.75,700.5,477.0,311.5,283.75,37047.0,16.0,5801.0,"2,441",40562.0,"2,875",21.0,10245.0,"2,721",5.3,1061.0,"1,819"
Craven County,2020,58.0,81.0,307.0,126.0,284.0,13512.0,9.0,115.0,727.0,118.0,352.0,461.0,4779.0,83.0,1503.0,1090.0,186.0,1362.0,1312.0,275.0,31902.0,18593.0,201.0,533.0,1830084741.0,38410.0,47646.0,35786.0,20630.0,4760.0,10.25,19325.0,20037.0,38121.0,66200.0,2921.0,1143.0,2127.0,1047.0,660.0,1736.0,6218.0,17304.0,3.0,20934.0,433111208.0,42986.0,1875.0,6630.0,40820.0,3.3,27962.0,3610.0,4717.0,84086.0,66298.0,250954.0,53894.0,318329.0,371866.0,38411.0,35260.0,34801.0,29908.0,9.96,37.71,23.07,28.28,8.98,14.33,22.0,25.58,19336.0,1736.0,96793.0,13874.0,4705.0,21386.0,1962.0,7669.0,1241.0,1376.0,4.23,6.7,2699.0,67577.0,6730.0,1688.5,1160.0,359.25,329.25,323.5,600.0,305.5,404.0,2242.25,1330.25,1243.0,1590.0,1489.25,1350.75,360.0,1289.25,1464.25,1531.0,1499.75,1278.0,1134.25,885.0,608.0,668.5,37049.0,10.3,6940.0,"1,441",56325.0,"1,535",14.2,13598.0,"1,732",5.7,2405.0,"2,068"
Cumberland County,2020,173.0,251.0,524.0,419.0,1.0,38609.0,50.0,537.0,1.0,519.0,1110.0,1179.0,16183.0,339.0,6631.0,3259.0,1475.0,3070.0,5120.0,819.0,35930.0,17818.0,1146.0,3946.0,5338252738.0,114764.0,46515.0,41451.0,120312.0,28593.0,8.54,67608.0,57200.0,114386.0,58000.0,11950.0,7113.0,9013.0,6225.0,2827.0,6584.0,19584.0,45207.0,4.4,76515.0,1301778772.0,43851.0,7778.0,37321.0,126387.0,3.8,91069.0,5974.0,10438.0,72319.0,57586.0,244255.0,48177.0,301631.0,355322.0,114591.0,116303.0,108617.0,25648.0,13.88,29.04,23.77,20.84,11.88,18.75,25.77,28.43,39094.0,4643.0,317261.0,59484.0,20763.0,80573.0,8443.0,29700.0,5808.0,4939.0,5.225,9.5,12001.0,152224.0,21133.0,6504.75,3542.25,1128.0,1094.0,1044.25,2032.5,1050.25,1299.25,7748.25,6610.75,5510.0,5705.0,4817.75,4166.0,1286.0,4278.75,4837.0,5065.25,4681.25,3868.25,3018.25,1953.0,1272.0,1181.25,37051.0,8.0,16602.0,877,50746.0,"2,155",18.0,57149.0,"2,418",8.0,10964.0,"2,794"
Currituck County,2020,6.0,6.0,0.0,29.0,68.0,0.0,0.0,17.0,344.0,10.0,75.0,100.0,664.0,16.0,319.0,65.0,28.0,306.0,291.0,11.0,0.0,12598.0,71.0,93.0,257663629.0,6745.0,38201.0,49931.0,1475.0,230.0,3.99,6287.0,6835.0,12976.0,82500.0,443.0,157.0,392.0,132.0,50.0,318.0,1000.0,6141.0,2.0,6534.0,58367256.0,65956.0,94.0,1102.0,13851.0,2.2,7568.0,71.0,994.0,98893.0,87778.0,334994.0,73741.0,421509.0,514646.0,5804.0,12317.0,5733.0,34726.0,7.3,76.34,15.59,8.53,5.19,8.23,9.42,6.91,4395.0,228.0,26956.0,2218.0,553.0,5869.0,122.0,1765.0,219.0,234.0,2.64,6.4,875.0,24053.0,1755.0,336.25,236.5,84.75,91.0,98.5,191.0,85.25,87.0,371.0,449.5,424.0,423.25,441.75,504.5,70.0,555.0,595.25,270.5,567.25,426.25,331.0,231.0,128.25,86.75,37053.0,7.7,1530.0,807,79416.0,255,8.3,2274.0,430,2.5,358.0,325
Dare County,2020,20.0,31.0,21.0,43.0,108.0,1408.0,0.0,23.0,656.0,43.0,107.0,126.0,1177.0,13.0,369.0,235.0,28.0,382.0,339.0,70.0,0.0,57433.0,0.0,47.0,690476047.0,18044.0,38266.0,0.0,1197.0,461.0,11.29,9201.0,8973.0,17636.0,69400.0,602.0,206.0,389.0,185.0,197.0,425.0,1971.0,7446.0,2.2,9566.0,151491436.0,41671.0,588.0,2629.0,19548.0,5.0,10161.0,515.0,904.0,97821.0,78462.0,325490.0,65420.0,357918.0,415965.0,17137.0,17588.0,16622.0,36532.0,7.14,0.0,38.51,22.37,2.9699999999999998,8.23,11.77,18.08,7800.0,232.0,36426.0,2998.0,793.0,6735.0,367.0,2030.0,346.0,755.0,4.54,10.0,1912.0,33212.0,2372.0,408.5,279.75,103.25,101.0,110.25,209.0,82.75,80.75,382.0,498.75,585.75,615.25,575.75,569.25,87.0,625.75,715.25,365.25,752.25,700.0,581.75,382.25,250.0,189.0,37055.0,4.7,1296.0,147,69500.0,537,6.8,2483.0,209,6.1,1212.0,"2,234"
Davidson County,2020,32.0,55.0,195.0,240.0,519.0,7847.0,9.0,176.0,816.0,128.0,619.0,794.0,3939.0,116.0,1901.0,787.0,191.0,2208.0,1699.0,143.0,0.0,9938.0,192.0,409.0,1859857850.0,42578.0,43681.0,34743.0,15283.0,3425.0,8.71,34715.0,39506.0,73311.0,59300.0,5343.0,3022.0,3853.0,2574.0,1365.0,3550.0,11542.0,28303.0,3.3,37003.0,468453154.0,36013.0,3599.0,12149.0,78916.0,3.2,42815.0,9606.0,13795.0,75785.0,63302.0,245542.0,50454.0,304128.0,363913.0,42497.0,61518.0,32891.0,26616.0,13.96,46.94,22.41,29.62,9.6,15.15,23.6,26.54,29505.0,2832.0,164482.0,24925.0,8424.0,35688.0,2935.0,11059.0,2288.0,2068.0,4.300000000000001,7.2,5605.0,139288.0,19447.0,2186.5,1562.0,532.0,547.75,561.5,1150.25,489.25,515.25,2475.25,2588.75,2614.25,2574.25,2472.25,2816.0,440.75,3091.5,3174.75,1774.75,2935.25,2434.0,2175.75,1483.5,940.75,758.75,37057.0,14.2,16811.0,"2,215",53083.0,"1,908",14.5,24111.0,"1,804",5.4,4250.0,"1,863"
Davie County,2020,17.0,20.0,50.0,41.0,41.0,2042.0,6.0,30.0,201.0,59.0,110.0,249.0,477.0,19.0,432.0,241.0,41.0,525.0,388.0,62.0,0.0,8205.0,52.0,267.0,517337426.0,12406.0,41701.0,29566.0,1965.0,331.0,2.96,9588.0,10200.0,18709.0,68600.0,1225.0,491.0,751.0,362.0,338.0,619.0,1969.0,8131.0,2.2,9987.0,129750504.0,52037.0,917.0,2940.0,20079.0,2.7,11010.0,3570.0,4281.0,91984.0,73817.0,274659.0,62028.0,342155.0,400664.0,11482.0,15830.0,7912.0,32638.0,13.07,19.48,16.84,31.19,8.06,13.72,21.67,30.01,8651.0,697.0,42261.0,5799.0,1950.0,8997.0,808.0,2692.0,399.0,445.0,3.19,6.9,1370.0,37500.0,4901.0,491.75,366.5,131.5,132.0,137.25,272.25,142.25,119.0,626.75,673.0,593.75,617.75,599.75,695.75,94.5,758.0,808.75,394.5,771.25,701.25,601.75,432.5,287.0,256.75,37059.0,9.8,2972.0,"1,329",64657.0,804,12.6,5317.0,"1,369",4.9,1002.0,"1,579"
Duplin County,2020,10.0,16.0,56.0,60.0,131.0,3687.0,9.0,88.0,329.0,31.0,200.0,272.0,2343.0,84.0,801.0,291.0,96.0,704.0,699.0,44.0,100216.0,34785.0,0.0,222.0,721392160.0,18384.0,39240.0,29290.0,13413.0,3244.0,7.83,11857.0,12850.0,23420.0,46400.0,1890.0,1121.0,1512.0,965.0,537.0,1190.0,3966.0,8129.0,3.2,12638.0,175384233.0,42214.0,3503.0,13202.0,24812.0,3.6,14301.0,6105.0,4889.0,63663.0,55763.0,210826.0,43422.0,249315.0,319814.0,16907.0,20395.0,10802.0,21145.0,16.49,0.0,24.19,26.53,10.26,18.18,29.16,32.16,10711.0,1099.0,58384.0,10613.0,4010.0,13753.0,1395.0,4338.0,781.0,816.0,4.6,5.7,1392.0,40310.0,6649.0,854.25,579.0,198.75,186.0,186.75,351.75,165.25,168.0,856.25,817.5,705.5,742.5,790.25,768.5,181.75,687.0,652.5,716.0,615.0,494.0,463.0,352.0,231.5,307.0,37061.0,20.3,6863.0,"2,870",45744.0,"2,540",18.2,8958.0,"2,440",7.2,1691.0,"2,637"
Durham County,2020,234.0,478.0,1280.0,264.0,728.0,61574.0,25.0,353.0,1.0,1174.0,709.0,1342.0,17346.0,242.0,5090.0,8242.0,1046.0,2435.0,4012.0,2750.0,59636.0,29966.0,88.0,765.0,16933928325.0,212219.0,79795.0,46350.0,107053.0,17694.0,7.06,84594.0,78473.0,159304.0,90900.0,7051.0,4343.0,5496.0,3754.0,1985.0,4138.0,13485.0,52498.0,3.0,88735.0,4485931012.0,50306.0,10067.0,41795.0,170422.0,3.3,83986.0,28269.0,10967.0,108799.0,83872.0,357500.0,62812.0,385935.0,424732.0,212050.0,153440.0,183781.0,36759.0,10.07,11.5,16.53,24.09,7.37,13.5,19.65,20.8,40228.0,2964.0,303427.0,40972.0,12744.0,64858.0,4844.0,23284.0,4063.0,4035.0,3.87,6.6,11118.0,155253.0,15629.0,5267.0,3213.25,1020.5,946.0,901.0,1709.75,1099.0,1321.0,6316.5,7041.5,6855.75,6069.25,5703.25,5337.75,1106.0,4457.0,4247.25,4384.25,4066.5,3621.0,2816.0,1715.5,1039.5,1183.25,37063.0,10.1,22320.0,"1,390",67000.0,674,13.2,40371.0,"1,507",4.7,8170.0,"1,466"
Edgecombe County,2020,8.0,16.0,101.0,67.0,129.0,3410.0,7.0,75.0,182.0,28.0,242.0,307.0,2302.0,67.0,757.0,332.0,157.0,806.0,593.0,42.0,0.0,25288.0,25.0,176.0,605530686.0,15146.0,39980.0,35050.0,29598.0,8102.0,10.97,11450.0,9472.0,18511.0,57700.0,2624.0,1779.0,2061.0,1578.0,438.0,1251.0,4388.0,6777.0,4.3,12442.0,150615052.0,39183.0,667.0,2503.0,20702.0,5.7,10899.0,2723.0,3980.0,60450.0,47094.0,247203.0,40489.0,267278.0,291302.0,13228.0,17283.0,10505.0,21595.0,14.36,14.2,27.37,26.65,12.94,22.28,36.29,42.86,10016.0,1296.0,51372.0,11446.0,4169.0,11488.0,1486.0,3467.0,979.0,1086.0,6.775,10.6,2191.0,20136.0,2892.0,714.25,519.75,171.5,174.0,175.75,344.25,173.5,157.75,607.75,478.75,501.0,676.75,706.5,712.5,142.0,754.25,917.0,602.0,958.25,908.25,722.0,469.25,308.5,286.5,37065.0,15.4,5320.0,"2,372",41974.0,"2,802",22.8,11164.0,"2,853",9.3,2057.0,"2,949"
Forsyth County,2020,230.0,452.0,1689.0,401.0,1.0,83136.0,31.0,456.0,1.0,1130.0,1070.0,1710.0,5552.0,315.0,5401.0,7373.0,1083.0,3993.0,4290.0,2037.0,50139.0,15512.0,321.0,1310.0,10193145380.0,181664.0,56110.0,36737.0,93996.0,22023.0,7.38,87195.0,86333.0,170449.0,68600.0,10181.0,5724.0,7820.0,4861.0,2158.0,6271.0,19566.0,60615.0,3.0,92013.0,2811309792.0,39968.0,14833.0,48927.0,184149.0,3.1,94037.0,15882.0,21939.0,93661.0,68887.0,279686.0,53583.0,330484.0,388619.0,181666.0,154210.0,165784.0,31201.0,12.18,24.5,23.43,30.32,8.87,15.83,23.95,24.57,59342.0,5261.0,367643.0,58180.0,20645.0,86202.0,6557.0,26688.0,4784.0,4415.0,3.945,7.5,13700.0,237910.0,28969.0,5494.25,3708.75,1283.5,1259.5,1280.25,2535.0,1336.5,1417.25,6715.25,6809.5,6716.75,6066.5,5759.0,5798.25,1132.75,6010.5,6241.5,4688.0,5906.0,5025.0,4193.0,2753.0,1821.5,1867.0,37067.0,10.7,27441.0,"1,560",56830.0,"1,479",15.6,57871.0,"2,032",5.3,9839.0,"1,812"
Franklin County,2020,14.0,7.0,70.0,66.0,158.0,0.0,8.0,76.0,483.0,36.0,215.0,258.0,1419.0,62.0,900.0,198.0,141.0,717.0,755.0,17.0,34075.0,20558.0,119.0,644.0,566223279.0,11972.0,47296.0,50515.0,15601.0,2433.0,9.64,14863.0,15769.0,28909.0,94100.0,1589.0,697.0,1163.0,531.0,437.0,2041.0,3661.0,12143.0,3.3,15776.0,140746014.0,43500.0,1286.0,5831.0,31029.0,5.0,17637.0,2683.0,3561.0,79348.0,70061.0,268323.0,58172.0,314391.0,354618.0,11816.0,27559.0,9133.0,27588.0,8.83,18.48,15.6,22.05,7.01,11.42,17.85,19.91,11208.0,786.0,66459.0,7592.0,2638.0,14777.0,918.0,4611.0,913.0,1357.0,5.415,6.9,2120.0,44623.0,3941.0,916.25,641.75,228.5,237.75,232.75,459.0,234.0,238.0,947.5,1019.25,1107.0,1062.25,1055.75,1172.0,181.25,1204.75,1290.75,730.0,1196.0,1040.5,838.75,549.25,337.0,307.0,37069.0,13.5,6366.0,"2,083",62332.0,992,11.3,7480.0,"1,051",6.5,2166.0,"2,403"
Gaston County,2020,92.0,128.0,372.0,212.0,745.0,23394.0,29.0,284.0,1.0,247.0,810.0,972.0,11261.0,155.0,3039.0,1865.0,478.0,2788.0,2547.0,401.0,44167.0,19866.0,113.0,654.0,3088340508.0,70138.0,44032.0,43191.0,36175.0,6799.0,8.58,50241.0,52440.0,100744.0,83500.0,5717.0,2871.0,4285.0,2653.0,1198.0,3843.0,12594.0,36149.0,3.6,53629.0,773674435.0,42788.0,3634.0,15969.0,109526.0,3.9,57472.0,13895.0,16578.0,84202.0,66558.0,256201.0,53474.0,310838.0,374033.0,70031.0,87613.0,56136.0,28526.0,12.06,17.28,18.79,22.76,10.73,13.62,18.32,21.72,34769.0,3730.0,218537.0,29771.0,8916.0,48666.0,3371.0,15523.0,3388.0,3269.0,4.800000000000001,8.1,8782.0,165755.0,19983.0,3193.0,2107.75,766.75,773.0,771.0,1531.25,760.5,749.0,3579.75,3582.5,3549.5,3457.0,3568.0,4149.75,642.0,4157.25,4070.5,2606.5,3644.25,3127.25,2662.25,1724.25,1054.25,927.25,37071.0,13.3,20864.0,"2,044",56819.0,"1,480",13.1,29172.0,"1,492",5.3,6067.0,"1,857"
Gates County,2020,0.0,0.0,0.0,5.0,23.0,0.0,0.0,9.0,34.0,4.0,37.0,70.0,262.0,4.0,105.0,19.0,8.0,139.0,97.0,0.0,54306.0,29625.0,0.0,93.0,63294693.0,1552.0,40783.0,34454.0,3604.0,976.0,19.85,2346.0,2504.0,4779.0,68000.0,342.0,249.0,243.0,213.0,163.0,262.0,809.0,1742.0,6.0,2644.0,14862073.0,0.0,0.0,11.0,5069.0,5.0,2764.0,144.0,769.0,71598.0,58200.0,245520.0,45871.0,315491.0,412852.0,1222.0,4112.0,1078.0,26053.0,7.07,0.0,27.08,0.0,15.88,12.99,18.07,12.88,2330.0,370.0,11443.0,1487.0,414.0,2291.0,59.0,458.0,289.0,229.0,7.515,5.8,290.0,7231.0,511.0,120.75,78.0,30.25,28.5,31.5,51.75,25.5,32.25,157.75,223.0,183.0,126.75,106.5,129.5,24.25,176.25,225.75,92.5,191.5,169.75,137.75,108.25,70.5,75.5,37073.0,10.6,822.0,"1,537",51599.0,"2,075",13.9,1457.0,"1,681",9.7,485.0,"2,991"
Graham County,2020,3.0,3.0,0.0,15.0,33.0,0.0,0.0,8.0,46.0,3.0,28.0,80.0,436.0,12.0,80.0,31.0,3.0,139.0,77.0,5.0,68750.0,20678.0,79.0,764.0,74744049.0,1910.0,39133.0,0.0,3.0,3.0,100.0,1657.0,1685.0,2772.0,49400.0,246.0,69.0,137.0,44.0,60.0,175.0,718.0,1189.0,1.9,1729.0,17021797.0,0.0,175.0,316.0,3077.0,1.5,1830.0,39.0,219.0,61184.0,51116.0,175406.0,42207.0,234465.0,314985.0,1843.0,3220.0,1804.0,23034.0,12.49,10.34,100.0,55.38,9.8,13.97,16.17,20.43,1909.0,187.0,8369.0,1169.0,267.0,1651.0,86.0,421.0,72.0,48.0,2.495,9.9,305.0,7326.0,915.0,105.75,71.25,28.25,27.0,29.0,50.0,23.0,27.25,118.0,95.0,98.75,112.5,100.75,104.75,21.5,118.75,137.75,95.0,130.75,124.25,131.0,102.5,71.0,79.5,37075.0,17.5,1015.0,"2,588",41977.0,"2,801",13.4,1067.0,"1,553",5.9,205.0,"2,185"
Granville County,2020,14.0,53.0,62.0,40.0,128.0,1953.0,4.0,69.0,278.0,55.0,166.0,240.0,1150.0,34.0,697.0,717.0,123.0,704.0,573.0,137.0,0.0,20571.0,77.0,160.0,980480739.0,20122.0,48727.0,46452.0,16035.0,3698.0,5.94,13559.0,13271.0,27832.0,65300.0,1745.0,895.0,1063.0,790.0,721.0,962.0,3237.0,10060.0,2.5,14182.0,245440870.0,38902.0,764.0,4732.0,29566.0,3.0,14409.0,3948.0,4137.0,83823.0,67213.0,290257.0,56924.0,323224.0,357555.0,19840.0,23075.0,15892.0,27723.0,9.35,48.13,23.06,16.15,11.38,14.21,20.94,21.13,9790.0,1114.0,56599.0,8042.0,2459.0,11742.0,713.0,3374.0,602.0,744.0,3.6750000000000003,5.9,1734.0,34732.0,3248.0,722.25,503.25,187.0,190.0,184.5,377.0,190.5,221.5,965.25,920.5,880.0,920.75,969.5,1113.25,142.5,1188.75,1194.25,573.25,1125.5,893.5,752.5,479.0,297.5,263.75,37077.0,13.9,6019.0,"2,168",60606.0,"1,130",14.4,8327.0,"1,781",5.2,1500.0,"1,766"
Greene County,2020,6.0,6.0,0.0,21.0,25.0,0.0,1.0,24.0,41.0,16.0,67.0,115.0,566.0,16.0,253.0,94.0,41.0,248.0,209.0,9.0,0.0,3853.0,0.0,24.0,167806183.0,4356.0,38523.0,30544.0,5899.0,1671.0,8.01,3968.0,4094.0,9012.0,54100.0,661.0,372.0,567.0,359.0,205.0,558.0,1171.0,2602.0,2.1,4126.0,39604990.0,40325.0,1078.0,2986.0,9551.0,3.6,4755.0,291.0,1324.0,64585.0,55636.0,225005.0,43563.0,241285.0,273482.0,4263.0,7057.0,3972.0,19415.0,17.97,0.0,28.33,36.1,11.07,21.21,33.35,37.11,3226.0,357.0,18525.0,3929.0,1378.0,4132.0,439.0,1183.0,158.0,342.0,4.185,5.7,539.0,10950.0,1968.0,257.75,194.0,71.0,67.5,68.25,122.75,65.0,62.0,329.5,311.25,304.75,319.5,362.25,364.5,51.75,322.25,355.75,217.0,363.75,306.75,238.0,153.25,96.5,100.75,37079.0,22.4,3259.0,"2,964",45766.0,"2,539",21.4,3884.0,"2,754",6.9,600.0,"2,533"
Guilford County,2020,323.0,452.0,1061.0,537.0,1.0,58904.0,45.0,649.0,2.0,875.0,1442.0,2432.0,21601.0,379.0,8005.0,6221.0,2023.0,5208.0,5927.0,1461.0,39205.0,15462.0,696.0,2492.0,14300591236.0,270641.0,52840.0,43710.0,172542.0,39837.0,9.22,127704.0,125435.0,234933.0,66600.0,14556.0,8949.0,11446.0,7931.0,3345.0,9630.0,27419.0,84175.0,3.7,136251.0,3714989005.0,43569.0,10701.0,42170.0,256997.0,3.8,137265.0,31049.0,33148.0,93414.0,70547.0,279719.0,54794.0,331903.0,392348.0,270644.0,223870.0,239595.0,31798.0,9.61,27.93,23.09,25.38,10.42,15.28,21.58,23.5,78973.0,8226.0,513209.0,78408.0,25107.0,116328.0,8572.0,36480.0,8425.0,7572.0,4.745,8.6,22064.0,279667.0,26870.0,7598.0,4709.25,1651.25,1663.25,1691.5,3441.25,2129.25,2479.75,11158.5,9840.25,9251.5,8730.75,8069.75,8304.5,1514.75,8705.0,8751.75,6126.5,8157.25,6960.5,5830.0,3778.25,2441.0,2580.0,37081.0,9.8,35186.0,"1,332",58646.0,"1,297",14.5,75142.0,"1,809",5.5,15364.0,"1,981"
Halifax County,2020,11.0,23.0,184.0,73.0,143.0,5319.0,5.0,61.0,150.0,36.0,248.0,343.0,2304.0,66.0,698.0,386.0,170.0,819.0,526.0,67.0,27750.0,24134.0,641.0,1764.0,553817095.0,14761.0,37519.0,26810.0,25797.0,8579.0,7.87,9017.0,9567.0,18237.0,45200.0,3043.0,1968.0,2211.0,1689.0,857.0,1749.0,3949.0,6029.0,2.7,9595.0,139901401.0,50814.0,253.0,1436.0,20080.0,3.7,10465.0,2142.0,3633.0,60724.0,45252.0,186197.0,35904.0,228547.0,279477.0,14761.0,15112.0,12619.0,21902.0,15.6,36.34,33.26,17.62,18.66,25.63,36.38,38.11,10229.0,1909.0,49381.0,12654.0,3860.0,10609.0,1279.0,3356.0,578.0,724.0,4.785,9.2,1844.0,19555.0,3050.0,672.75,435.5,154.5,153.25,152.0,311.75,149.0,150.0,629.75,710.5,613.25,586.5,580.75,700.0,137.5,811.5,971.25,528.5,955.25,873.0,711.75,472.5,321.0,318.5,37083.0,20.1,7062.0,"2,852",37832.0,"2,986",26.2,12615.0,"3,010",8.5,1680.0,"2,860"
Harnett County,2020,20.0,49.0,131.0,149.0,341.0,5309.0,7.0,165.0,791.0,123.0,396.0,425.0,4673.0,119.0,2151.0,491.0,270.0,1254.0,1867.0,104.0,29904.0,19484.0,287.0,1215.0,986679528.0,25257.0,39066.0,45848.0,27515.0,6247.0,7.87,26089.0,26901.0,48916.0,64800.0,3592.0,1838.0,2721.0,1662.0,1031.0,2133.0,6491.0,20860.0,3.6,28333.0,240024594.0,50349.0,3222.0,17173.0,52873.0,3.7,33637.0,1625.0,6104.0,77827.0,67029.0,232683.0,54565.0,303369.0,397034.0,21114.0,47842.0,19489.0,24693.0,13.44,23.62,22.7,18.76,13.16,15.82,21.54,21.58,16472.0,2168.0,130817.0,20694.0,7422.0,34461.0,2545.0,11793.0,1916.0,1887.0,4.885,7.6,3957.0,87340.0,11741.0,2326.0,1483.75,526.25,519.5,503.5,987.5,527.5,532.5,2382.5,2163.5,2131.25,2302.75,2260.5,2187.25,483.5,2024.75,1923.75,1890.0,1770.25,1484.75,1230.75,846.75,527.5,442.25,37085.0,11.6,10048.0,"1,732",59676.0,"1,211",14.9,19394.0,"1,892",6.1,3514.0,"2,273"
